r_export,python_name,status,module,signature
add_gazepoint_aoi,add_gazepoint_aoi,native,aoi,"(data, x_col=None, y_col=None, aoi_geometry=None, output_col='aoi_current', outside_label='outside') -> 'pd.DataFrame'"
add_gazepoint_dynamic_aoi,add_gazepoint_dynamic_aoi,native,aoi,"(data, aoi_data, time_col=None, x_col=None, y_col=None, aoi_time_col=None, output_col='aoi_current', tolerance=None) -> 'pd.DataFrame'"
add_gazepoint_polygon_aoi,add_gazepoint_polygon_aoi,native,aoi,"(data, polygons, x_col=None, y_col=None, output_col='aoi_current', outside_label='outside') -> 'pd.DataFrame'"
analyse_gazepoint_binocular_sensitivity,analyse_gazepoint_binocular_sensitivity,native,pupil,"(data, methods=('available_eye', 'linear_regression'), **kwargs) -> 'pd.DataFrame'"
analyze_gazepoint_window,analyze_gazepoint_window,native-adapted,stats,"(data, value_col=None, group_col=None, condition_col=None, **kwargs) -> 'dict[str, Any]'"
as_gazepoint_master,as_gazepoint_master,native,qc,"(data, copy: 'bool' = True) -> 'pd.DataFrame'"
audit_gazepoint_aoi_coding_matrix,audit_gazepoint_aoi_coding_matrix,native,aoi,"(data, aoi_col=None, group_cols=None) -> 'pd.DataFrame'"
audit_gazepoint_aoi_geometry,audit_gazepoint_aoi_geometry,native,aoi,"(aoi_geometry) -> 'dict[str, Any]'"
audit_gazepoint_aoi_margin_sensitivity,audit_gazepoint_aoi_margin_sensitivity,native,aoi,"(data, aoi_geometry, margins=(-0.02, 0, 0.02), x_col=None, y_col=None) -> 'pd.DataFrame'"
audit_gazepoint_aoi_overlap,audit_gazepoint_aoi_overlap,native,aoi,(aoi_geometry) -> 'pd.DataFrame'
audit_gazepoint_aoi_screen_coverage,audit_gazepoint_aoi_screen_coverage,native,aoi,"(aoi_geometry, width=1.0, height=1.0) -> 'pd.DataFrame'"
audit_gazepoint_aoi_window_denominators,audit_gazepoint_aoi_window_denominators,native,aoi,"(data, success_col='success', total_col='total') -> 'pd.DataFrame'"
