subject,condition,aoi_current,n_samples,proportion,window,window_start,window_end
S01,A,center,22,0.2391304347826087,early,0.0,0.75
S01,A,right,70,0.7608695652173914,early,0.0,0.75
S01,B,center,29,0.31521739130434784,early,0.0,0.75
S01,B,right,63,0.6847826086956522,early,0.0,0.75
S02,A,center,29,0.31521739130434784,early,0.0,0.75
S02,A,right,63,0.6847826086956522,early,0.0,0.75
S02,B,center,31,0.33695652173913043,early,0.0,0.75
S02,B,right,61,0.6630434782608695,early,0.0,0.75
S03,A,center,25,0.2717391304347826,early,0.0,0.75
S03,A,right,67,0.7282608695652174,early,0.0,0.75
S03,B,center,25,0.2717391304347826,early,0.0,0.75
S03,B,right,67,0.7282608695652174,early,0.0,0.75
S04,A,center,24,0.2608695652173913,early,0.0,0.75
S04,A,right,68,0.7391304347826086,early,0.0,0.75
S04,B,center,26,0.2826086956521739,early,0.0,0.75
S04,B,right,66,0.717391304347826,early,0.0,0.75
S01,A,center,43,0.4777777777777778,late,0.75,1.5
S01,A,left,38,0.4222222222222222,late,0.75,1.5
S01,A,right,9,0.1,late,0.75,1.5
S01,B,center,49,0.5444444444444444,late,0.75,1.5
S01,B,left,34,0.37777777777777777,late,0.75,1.5
S01,B,right,7,0.07777777777777778,late,0.75,1.5
S02,A,center,45,0.5,late,0.75,1.5
S02,A,left,36,0.4,late,0.75,1.5
S02,A,right,9,0.1,late,0.75,1.5
S02,B,center,42,0.4666666666666667,late,0.75,1.5
S02,B,left,38,0.4222222222222222,late,0.75,1.5
S02,B,right,10,0.1111111111111111,late,0.75,1.5
S03,A,center,41,0.45555555555555555,late,0.75,1.5
S03,A,left,37,0.4111111111111111,late,0.75,1.5
S03,A,right,12,0.13333333333333333,late,0.75,1.5
S03,B,center,49,0.5444444444444444,late,0.75,1.5
S03,B,left,33,0.36666666666666664,late,0.75,1.5
S03,B,right,8,0.08888888888888889,late,0.75,1.5
S04,A,center,50,0.5555555555555556,late,0.75,1.5
S04,A,left,34,0.37777777777777777,late,0.75,1.5
S04,A,right,6,0.06666666666666667,late,0.75,1.5
S04,B,center,46,0.5111111111111111,late,0.75,1.5
S04,B,left,34,0.37777777777777777,late,0.75,1.5
S04,B,right,10,0.1111111111111111,late,0.75,1.5
