subject,condition,n_samples,n_valid,mean_pupil,sd_pupil,median_pupil,min_pupil,max_pupil,window,window_start,window_end
S01,A,92,92,3.580093560833965,0.09512657890989379,3.5697987082022964,3.2817967027985775,3.7910068459748953,early,0.0,0.75
S01,B,92,92,3.7610594027807056,0.0964865929638921,3.747250379790776,3.5544025378829054,3.9857378765554707,early,0.0,0.75
S02,A,92,92,3.5931915008116295,0.09476703659823928,3.5946984479720774,3.3902658504416987,3.835622997936205,early,0.0,0.75
S02,B,92,92,3.766334519830815,0.10427026527870123,3.7597488946742494,3.54973757202421,4.018301543549533,early,0.0,0.75
S03,A,92,92,3.591719498913925,0.09548584625954401,3.579120763157323,3.386798825941075,3.8174633842190593,early,0.0,0.75
S03,B,92,92,3.7759627397719377,0.08820557974200496,3.763394902004239,3.5829997069197708,3.9688604409414396,early,0.0,0.75
S04,A,92,92,3.591685612468271,0.10054656386530499,3.5807540837766156,3.409773049880899,3.8172433736238522,early,0.0,0.75
S04,B,92,92,3.7579630832952704,0.10948838529229868,3.7422214221462293,3.577548805257324,4.06297212225671,early,0.0,0.75
S01,A,90,90,3.6136603069655964,0.12006784123707555,3.6069247744985202,3.3728001151120046,3.8551571559034388,late,0.75,1.5
S01,B,90,90,3.802863978418075,0.11338429122637766,3.7825285262381767,3.57590635572652,4.0943001559021965,late,0.75,1.5
S02,A,90,90,3.6339257032414762,0.110968766735833,3.624413458449628,3.4229263816633275,3.8640966284471903,late,0.75,1.5
S02,B,90,90,3.801238378982827,0.10942440866290314,3.785023938070995,3.5932150569828667,4.077286212903907,late,0.75,1.5
S03,A,90,90,3.6231460521061907,0.11742737818686154,3.6334673894436946,3.3285551316740016,3.895731882648017,late,0.75,1.5
S03,B,90,90,3.800999592146996,0.10629683403267823,3.787154809472087,3.617795307291691,4.072202225904591,late,0.75,1.5
S04,A,90,90,3.6310971114847215,0.09510283368016922,3.6257946691727474,3.4434530762827813,3.8250029923725664,late,0.75,1.5
S04,B,90,90,3.8073721881654907,0.10875366113134134,3.8048691434493995,3.560432515925532,4.032431725310825,late,0.75,1.5
